"year","serata","serata_name","serata_date","artist","song","rank","performance_order","total_in_serata","relative_position","time","minutes_since_2000","has_exact_time","tweet_datetime"
"2025","1","Prima serata","2025-02-11","Gaia","Chiamo io chiami tu","26","1","29","0.0","20:52","52.0","True",""
"2025","1","Prima serata","2025-02-11","Francesco Gabbani","Viva la vita","8","2","29","0.0357","20:59","59.0","True",""
"2025","1","Prima serata","2025-02-11","Rkomi","Il ritmo delle cose","28","3","29","0.0714","21:06","66.0","True",""
"2025","1","Prima serata","2025-02-11","Noemi","Se t'innamori muori","13","4","29","0.1071","21:17","77.0","True",""
"2025","1","Prima serata","2025-02-11","Irama","Lentamente","9","5","29","0.1429","21:39","99.0","True",""
"2025","1","Prima serata","2025-02-11","Coma_Cose","Cuoricini","10","6","29","0.1786","21:45","105.0","True",""
"2025","1","Prima serata","2025-02-11","Simone Cristicchi","Quando sarai piccola","5","7","29","0.2143","21:57","117.0","True",""
"2025","1","Prima serata","2025-02-11","Marcella Bella","Pelle diamante","29","8","29","0.25","22:10","130.0","True",""
"2025","1","Prima serata","2025-02-11","Achille Lauro","Incoscienti giovani","7","9","29","0.2857","22:35","155.0","True",""
"2025","1","Prima serata","2025-02-11","Giorgia","La cura per me","6","10","29","0.3214","22:42","162.0","True",""
"2025","1","Prima serata","2025-02-11","Willie Peyote","Grazie ma no grazie","16","11","29","0.3571","22:49","169.0","True",""
"2025","1","Prima serata","2025-02-11","Rose Villain","Fuorilegge","19","12","29","0.3929","23:08","188.0","True",""
"2025","1","Prima serata","2025-02-11","Olly","Balorda nostalgia","1","13","29","0.4286","23:14","194.0","True",""
"2025","1","Prima serata","2025-02-11","Elodie","Dimenticarsi alle 7","12","14","29","0.4643","23:25","205.0","True",""
"2025","1","Prima serata","2025-02-11","Shablo feat. Gue, Joshua e Tormento","La mia parola","18","15","29","0.5","23:43","223.0","True",""
"2025","1","Prima serata","2025-02-11","Massimo Ranieri","Tra le mani un cuore","23","16","29","0.5357","23:49","229.0","True",""
"2025","1","Prima serata","2025-02-11","Tony Effe","Damme 'na mano","25","17","29","0.5714","00:16","256.0","True",""
"2025","1","Prima serata","2025-02-11","Serena Brancale","Anema e core","24","18","29","0.6071","00:22","262.0","True",""
"2025","1","Prima serata","2025-02-11","Brunori Sas","L'albero delle noci","3","19","29","0.6429","00:34","274.0","True",""
"2025","1","Prima serata","2025-02-11","Moda","Non ti dimentico","22","20","29","0.6786","","","False",""
"2025","1","Prima serata","2025-02-11","Clara","Febbre","27","21","29","0.7143","","","False",""
"2025","1","Prima serata","2025-02-11","Fedez","Battito","4","22","29","0.75","","","False",""
"2025","1","Prima serata","2025-02-11","Lucio Corsi","Volevo essere un duro","2","23","29","0.7857","","","False",""
"2025","1","Prima serata","2025-02-11","Bresh","La tana del granchio","11","24","29","0.8214","","","False",""
"2025","1","Prima serata","2025-02-11","Sarah Toscano","Amarcord","17","25","29","0.8571","","","False",""
"2025","1","Prima serata","2025-02-11","Joan Thiele","Eco","20","26","29","0.8929","","","False",""
"2025","1","Prima serata","2025-02-11","Rocco Hunt","Mille vote ancora","15","27","29","0.9286","","","False",""
"2025","1","Prima serata","2025-02-11","Francesca Michielin","Fango in paradiso","21","28","29","0.9643","","","False",""
"2025","1","Prima serata","2025-02-11","The Kolors","Tu con chi fai l'amore","14","29","29","1.0","","","False",""
