"year","serata","serata_name","serata_date","artist","song","rank","performance_order","total_in_serata","relative_position","time","minutes_since_2000","has_exact_time","tweet_datetime"
"2025","2","Seconda serata","2025-02-12","Rocco Hunt","Mille vote ancora","15","1","15","0.0","21:28","88.0","True",""
"2025","2","Seconda serata","2025-02-12","Elodie","Dimenticarsi alle 7","12","2","15","0.0714","21:36","96.0","True",""
"2025","2","Seconda serata","2025-02-12","Lucio Corsi","Volevo essere un duro","2","3","15","0.1429","21:45","105.0","True",""
"2025","2","Seconda serata","2025-02-12","The Kolors","Tu con chi fai l'amore","14","4","15","0.2143","21:59","119.0","True",""
"2025","2","Seconda serata","2025-02-12","Serena Brancale","Anema e core","24","5","15","0.2857","22:05","125.0","True",""
"2025","2","Seconda serata","2025-02-12","Fedez","Battito","4","6","15","0.3571","22:16","136.0","True",""
"2025","2","Seconda serata","2025-02-12","Francesca Michielin","Fango in paradiso","21","7","15","0.4286","22:24","144.0","True",""
"2025","2","Seconda serata","2025-02-12","Simone Cristicchi","Quando sarai piccola","5","8","15","0.5","22:49","169.0","True",""
"2025","2","Seconda serata","2025-02-12","Marcella Bella","Pelle diamante","29","9","15","0.5714","23:10","190.0","True",""
"2025","2","Seconda serata","2025-02-12","Bresh","La tana del granchio","11","10","15","0.6429","23:21","201.0","True",""
"2025","2","Seconda serata","2025-02-12","Achille Lauro","Incoscienti giovani","7","11","15","0.7143","23:34","214.0","True",""
"2025","2","Seconda serata","2025-02-12","Giorgia","La cura per me","6","12","15","0.7857","23:49","229.0","True",""
"2025","2","Seconda serata","2025-02-12","Rkomi","Il ritmo delle cose","28","13","15","0.8571","00:04","244.0","True",""
"2025","2","Seconda serata","2025-02-12","Rose Villain","Fuorilegge","19","14","15","0.9286","00:16","256.0","True",""
"2025","2","Seconda serata","2025-02-12","Willie Peyote","Grazie ma no grazie","16","15","15","1.0","00:39","279.0","True",""
"2025","3","Terza serata","2025-02-13","Clara","Febbre","27","1","14","0.0","","","False",""
"2025","3","Terza serata","2025-02-13","Brunori Sas","L'albero delle noci","3","2","14","0.0769","","","False",""
"2025","3","Terza serata","2025-02-13","Sarah Toscano","Amarcord","17","3","14","0.1538","","","False",""
"2025","3","Terza serata","2025-02-13","Massimo Ranieri","Tra le mani un cuore","23","4","14","0.2308","","","False",""
"2025","3","Terza serata","2025-02-13","Joan Thiele","Eco","20","5","14","0.3077","","","False",""
"2025","3","Terza serata","2025-02-13","Shablo feat. Gue, Joshua e Tormento","La mia parola","18","6","14","0.3846","","","False",""
"2025","3","Terza serata","2025-02-13","Noemi","Se t'innamori muori","13","7","14","0.4615","","","False",""
"2025","3","Terza serata","2025-02-13","Olly","Balorda nostalgia","1","8","14","0.5385","","","False",""
"2025","3","Terza serata","2025-02-13","Coma_Cose","Cuoricini","10","9","14","0.6154","","","False",""
"2025","3","Terza serata","2025-02-13","Moda","Non ti dimentico","22","10","14","0.6923","","","False",""
"2025","3","Terza serata","2025-02-13","Tony Effe","Damme 'na mano","25","11","14","0.7692","","","False",""
"2025","3","Terza serata","2025-02-13","Irama","Lentamente","9","12","14","0.8462","","","False",""
"2025","3","Terza serata","2025-02-13","Francesco Gabbani","Viva la vita","8","13","14","0.9231","","","False",""
"2025","3","Terza serata","2025-02-13","Gaia","Chiamo io chiami tu","26","14","14","1.0","","","False",""
"2025","5","Serata finale","2025-02-15","Francesca Michielin","Fango in paradiso","21","1","29","0.0","20:54","54.0","True",""
"2025","5","Serata finale","2025-02-15","Willie Peyote","Grazie ma no grazie","16","2","29","0.0357","21:01","61.0","True",""
"2025","5","Serata finale","2025-02-15","Marcella Bella","Pelle diamante","29","3","29","0.0714","21:09","69.0","True",""
"2025","5","Serata finale","2025-02-15","Bresh","La tana del granchio","11","4","29","0.1071","21:14","74.0","True",""
"2025","5","Serata finale","2025-02-15","Moda","Non ti dimentico","22","5","29","0.1429","21:25","85.0","True",""
"2025","5","Serata finale","2025-02-15","Rose Villain","Fuorilegge","19","6","29","0.1786","21:31","91.0","True",""
"2025","5","Serata finale","2025-02-15","Tony Effe","Damme 'na mano","25","7","29","0.2143","21:37","97.0","True",""
"2025","5","Serata finale","2025-02-15","Clara","Febbre","27","8","29","0.25","21:42","102.0","True",""
"2025","5","Serata finale","2025-02-15","Serena Brancale","Anema e core","24","9","29","0.2857","21:53","113.0","True",""
"2025","5","Serata finale","2025-02-15","Brunori Sas","L'albero delle noci","3","10","29","0.3214","21:58","118.0","True",""
"2025","5","Serata finale","2025-02-15","Francesco Gabbani","Viva la vita","8","11","29","0.3571","22:07","127.0","True",""
"2025","5","Serata finale","2025-02-15","Noemi","Se t'innamori muori","13","12","29","0.3929","22:13","133.0","True",""
"2025","5","Serata finale","2025-02-15","Rocco Hunt","Mille vote ancora","15","13","29","0.4286","22:19","139.0","True",""
"2025","5","Serata finale","2025-02-15","The Kolors","Tu con chi fai l'amore","14","14","29","0.4643","22:34","154.0","True",""
"2025","5","Serata finale","2025-02-15","Olly","Balorda nostalgia","1","15","29","0.5","22:40","160.0","True",""
"2025","5","Serata finale","2025-02-15","Achille Lauro","Incoscienti giovani","7","16","29","0.5357","","","False",""
"2025","5","Serata finale","2025-02-15","Coma_Cose","Cuoricini","10","17","29","0.5714","","","False",""
"2025","5","Serata finale","2025-02-15","Giorgia","La cura per me","6","18","29","0.6071","","","False",""
"2025","5","Serata finale","2025-02-15","Simone Cristicchi","Quando sarai piccola","5","19","29","0.6429","","","False",""
"2025","5","Serata finale","2025-02-15","Elodie","Dimenticarsi alle 7","12","20","29","0.6786","","","False",""
"2025","5","Serata finale","2025-02-15","Lucio Corsi","Volevo essere un duro","2","21","29","0.7143","","","False",""
"2025","5","Serata finale","2025-02-15","Irama","Lentamente","9","22","29","0.75","","","False",""
"2025","5","Serata finale","2025-02-15","Fedez","Battito","4","23","29","0.7857","","","False",""
"2025","5","Serata finale","2025-02-15","Shablo feat. Gue, Joshua e Tormento","La mia parola","18","24","29","0.8214","","","False",""
"2025","5","Serata finale","2025-02-15","Massimo Ranieri","Tra le mani un cuore","23","25","29","0.8571","","","False",""
"2025","5","Serata finale","2025-02-15","Gaia","Chiamo io chiami tu","26","26","29","0.8929","","","False",""
"2025","5","Serata finale","2025-02-15","Joan Thiele","Eco","20","27","29","0.9286","","","False",""
"2025","5","Serata finale","2025-02-15","Rkomi","Il ritmo delle cose","28","28","29","0.9643","","","False",""
"2025","5","Serata finale","2025-02-15","Sarah Toscano","Amarcord","17","29","29","1.0","","","False",""
