"year","winner","dates","total_performances","with_ranking","with_tweet_time","serate","status"
"2021","Maneskin","2021-03-02/2021-03-06","0","0","0","","no_order_data"
"2022","Mahmood e Blanco","2022-02-01/2022-02-05","0","0","0","","no_order_data"
"2023","Marco Mengoni","2023-02-07/2023-02-11","28","28","0","1, 2","OK"
"2024","Angelina Mango","2024-02-06/2024-02-10","30","30","0","1","OK"
"2025","Olly","2025-02-11/2025-02-15","29","29","0","1","OK"
"2026","TBD (in corso)","2026-02-24/2026-02-28","45","0","15","1, 2","in_corso"
